silabo;parte da palavra
vento;corrente do ar
tabela;conjunto de dados
planta;representação gráfica
sensor;dispositivo que detecta
ferramenta;objeto para trabalhar
luz;radiação eletromagnética
texto;série de palavras
motor;dispositivo que transforma energia
ilha;terra cercada por água
ponte;estrutura sobre um rio ou vale
código;conjunto de instruções
banco;instituição financeira
túnel;passagem subterrânea
rede;conjunto interligado
volume;capacidade de um espaço
forma;figura geométrica
chave;ferramenta para trancar
lugar;situação no espaço
fase;etapa de um processo
pluma;garfo para escrever
